"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",7,3.2,4.7,1.4,"versicolor"
"2",6.9,3.1,4.9,1.5,"versicolor"
"3",6.5,2.8,4.6,1.5,"versicolor"
"4",6.3,3.3,4.7,1.6,"versicolor"
"5",6.6,2.9,4.6,1.3,"versicolor"
"6",6.1,2.9,4.7,1.4,"versicolor"
"7",5.9,3.2,4.8,1.8,"versicolor"
"8",6.3,2.5,4.9,1.5,"versicolor"
"9",6.1,2.8,4.7,1.2,"versicolor"
"10",6.8,2.8,4.8,1.4,"versicolor"
"11",6.7,3,5,1.7,"versicolor"
"12",6,2.7,5.1,1.6,"versicolor"
"13",6.7,3.1,4.7,1.5,"versicolor"
"14",6.1,3,4.6,1.4,"versicolor"
"15",6.3,3.3,6,2.5,"virginica"
"16",5.8,2.7,5.1,1.9,"virginica"
"17",7.1,3,5.9,2.1,"virginica"
"18",6.3,2.9,5.6,1.8,"virginica"
"19",6.5,3,5.8,2.2,"virginica"
"20",7.6,3,6.6,2.1,"virginica"
"21",7.3,2.9,6.3,1.8,"virginica"
"22",6.7,2.5,5.8,1.8,"virginica"
"23",7.2,3.6,6.1,2.5,"virginica"
"24",6.5,3.2,5.1,2,"virginica"
"25",6.4,2.7,5.3,1.9,"virginica"
"26",6.8,3,5.5,2.1,"virginica"
"27",5.7,2.5,5,2,"virginica"
"28",5.8,2.8,5.1,2.4,"virginica"
"29",6.4,3.2,5.3,2.3,"virginica"
"30",6.5,3,5.5,1.8,"virginica"
"31",7.7,3.8,6.7,2.2,"virginica"
"32",7.7,2.6,6.9,2.3,"virginica"
"33",6,2.2,5,1.5,"virginica"
"34",6.9,3.2,5.7,2.3,"virginica"
"35",5.6,2.8,4.9,2,"virginica"
"36",7.7,2.8,6.7,2,"virginica"
"37",6.3,2.7,4.9,1.8,"virginica"
"38",6.7,3.3,5.7,2.1,"virginica"
"39",7.2,3.2,6,1.8,"virginica"
"40",6.2,2.8,4.8,1.8,"virginica"
"41",6.1,3,4.9,1.8,"virginica"
"42",6.4,2.8,5.6,2.1,"virginica"
"43",7.2,3,5.8,1.6,"virginica"
"44",7.4,2.8,6.1,1.9,"virginica"
"45",7.9,3.8,6.4,2,"virginica"
"46",6.4,2.8,5.6,2.2,"virginica"
"47",6.3,2.8,5.1,1.5,"virginica"
"48",6.1,2.6,5.6,1.4,"virginica"
"49",7.7,3,6.1,2.3,"virginica"
"50",6.3,3.4,5.6,2.4,"virginica"
"51",6.4,3.1,5.5,1.8,"virginica"
"52",6,3,4.8,1.8,"virginica"
"53",6.9,3.1,5.4,2.1,"virginica"
"54",6.7,3.1,5.6,2.4,"virginica"
"55",6.9,3.1,5.1,2.3,"virginica"
"56",5.8,2.7,5.1,1.9,"virginica"
"57",6.8,3.2,5.9,2.3,"virginica"
"58",6.7,3.3,5.7,2.5,"virginica"
"59",6.7,3,5.2,2.3,"virginica"
"60",6.3,2.5,5,1.9,"virginica"
"61",6.5,3,5.2,2,"virginica"
"62",6.2,3.4,5.4,2.3,"virginica"
"63",5.9,3,5.1,1.8,"virginica"
